id,text,label,scenario_family,source_type,source_file,source_record,source_label,curation_reason,indirect_request_candidate,raw_text
EXT-C-001,this is the company Bank. We are calling to verify recent transactions on your account ending in the number. It is a routine security check—no action is required unless something looks unusual. Would you like to set up transaction alerts for better tracking?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,5,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Bank. We are calling to verify recent transactions on your account ending in [Number]. It is a routine security check—no action is required unless something looks unusual. Would you like to set up transaction alerts for better tracking?"
EXT-C-002,"this is the company Bank. We are reaching out to verify a recent online transaction of the amount. Did you authorize this payment? If not, we can temporarily block your card and investigate further.",CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,35,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Bank. We are reaching out to verify a recent online transaction of [Money]. Did you authorize this payment? If not, we can temporarily block your card and investigate further."
EXT-C-003,this is the company Scholarship Committee. Congratulations! You have been awarded a scholarship based on your academic excellence. Please check your email for next steps and verification documents.,CAUTION,other,external_generated_unknown_source,English_NonScam.txt,41,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,True,"[Greetings], this is [Company] Scholarship Committee. Congratulations! You have  been awarded a scholarship based on your academic excellence. Please check your email for next steps and verification documents."
EXT-C-004,this is the representative from the the company courier service. We noticed a delivery attempt was missed at your address. Could you please share your tracking number so we can arrange a new drop-off?,CAUTION,delivery,external_generated_unknown_source,English_NonScam.txt,82,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from the [Company] courier service. We noticed a delivery attempt was missed at your address. Could you please share your tracking number so we can arrange a new drop-off?"
EXT-C-005,"this is the representative from the company Delivery. You received a notification but are not sure about the item. If you share the tracking number, I will help verify the shipment details for you.",CAUTION,delivery,external_generated_unknown_source,English_NonScam.txt,83,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Delivery. You received a notification but are not sure about the item. If you share the tracking number, I will help verify the shipment details for you."
EXT-C-006,this is the representative from the company Courier Services. You mentioned that your recent package arrived with damage. Can you share the tracking number so we can begin an investigation and file a report?,CAUTION,investment,external_generated_unknown_source,English_NonScam.txt,85,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Courier Services. You mentioned that your recent package arrived with damage. Can you share the tracking number so we can begin an investigation and file a report?"
EXT-C-007,this is the representative from the company Courier Services. You called about the delivery time for your package. Please provide your tracking number so I can check the status and estimated arrival.,CAUTION,delivery,external_generated_unknown_source,English_NonScam.txt,91,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Courier Services. You called about the delivery time for your package. Please provide your tracking number so I can check the status and estimated arrival."
EXT-C-008,this is the representative from the company Shipping Department. You requested to change your delivery address. Can you confirm your tracking number and let me know the updated address details?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,92,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Shipping Department. You requested to change your delivery address. Can you confirm your tracking number and let me know the updated address details?"
EXT-C-009,this is the representative from the company Delivery Services. You mentioned not receiving a package marked as delivered. Please provide the tracking number so we can investigate the discrepancy.,CAUTION,investment,external_generated_unknown_source,English_NonScam.txt,93,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Delivery Services. You mentioned not receiving a package marked as delivered. Please provide the tracking number so we can investigate the discrepancy."
EXT-C-010,this is the representative from the company Logistics. You would like to schedule a pickup for a return item. Can you provide the tracking number and preferred date so we can confirm the appointment?,CAUTION,other,external_generated_unknown_source,English_NonScam.txt,94,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Logistics. You would like to schedule a pickup for a return item. Can you provide the tracking number and preferred date so we can confirm the appointment?"
EXT-C-011,this is the representative from the company Courier Support. Your package is delayed in transit. Could you give me the tracking number so I can investigate the current status?,CAUTION,investment,external_generated_unknown_source,English_NonScam.txt,95,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Courier Support. Your package is delayed in transit. Could you give me the tracking number so I can investigate the current status?"
EXT-C-012,this is the representativethe representative from the police department. You witnessed a hit-and-run accident. Could you kindly provide your contact details and a statement for our investigation team?,CAUTION,government,external_generated_unknown_source,English_NonScam.txt,96,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Title][Name] from the police department. You witnessed a hit-and-run accident. Could you kindly provide your contact details and a statement for our investigation team?"
EXT-C-013,this is the representativethe representative from the company Police Station. You reported a case of online fraud. Could you please share all the relevant information and your location so we can assist?,CAUTION,government,external_generated_unknown_source,English_NonScam.txt,97,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Title][Name] from [Company] Police Station. You reported a case of online fraud. Could you please share all the relevant information and your location so we can assist?"
EXT-C-014,this is the company Medical Centre. You had a question about your medication dosage. Could you please provide your prescription ID so we can reference it correctly?,CAUTION,health,external_generated_unknown_source,English_NonScam.txt,101,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Medical Centre. You had a question about your medication dosage. Could you please provide your prescription ID so we can reference it correctly?"
EXT-C-015,this is the representative from the company Medical Records. We received your request for vaccination documentation. Can you verify your date of birth for us to locate your record accurately?,CAUTION,health,external_generated_unknown_source,English_NonScam.txt,102,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Medical Records. We received your request for vaccination documentation. Can you verify your date of birth for us to locate your record accurately?"
EXT-C-016,this is the representative from the company Bank. We have noticed some irregular activity on your account. Could you confirm the recent transactions for us to ensure everything is secure?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,103,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Bank. We have  noticed some irregular activity on your account. Could you confirm the recent transactions for us to ensure everything is secure?"
EXT-C-017,this is the representative from the company Credit Services. You reported an incorrect charge on your account. Could you share the transaction date and amount so we can investigate it further?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,104,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Credit Services. You reported an incorrect charge on your account. Could you share the transaction date and amount so we can investigate it further?"
EXT-C-018,this is the representative from the company Insurance. You requested clarification about your current policy coverage. Could you provide your policy number for accurate reference?,CAUTION,other,external_generated_unknown_source,English_NonScam.txt,105,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Insurance. You requested clarification about your current policy coverage. Could you provide your policy number for accurate reference?"
EXT-C-019,this is the representative from the company Mortgage Department. You recently inquired about your loan application status. Could you confirm your reference number so we can check the system?,CAUTION,loan,external_generated_unknown_source,English_NonScam.txt,106,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Mortgage Department. You recently inquired about your loan application status. Could you confirm your reference number so we can check the system?"
EXT-C-020,this is the representative from the company Investments. You reached out about concerns regarding your portfolio. Could you provide your account number for us to access your file securely?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,107,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Investments. You reached out about concerns regarding your portfolio. Could you provide your account number for us to access your file securely?"
EXT-C-021,this is the company Software Support. You reported a problem with your licensed software. Could you confirm your license key for verification and troubleshooting?,CAUTION,tech_support,external_generated_unknown_source,English_NonScam.txt,114,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Software Support. You reported a problem with your licensed software. Could you confirm your license key for verification and troubleshooting?"
EXT-C-022,this is the company Streaming Service Support. You contacted us about a billing issue. Could you provide your account email so we can access your subscription details?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,115,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Streaming Service Support. You contacted us about a billing issue. Could you provide your account email so we can access your subscription details?"
EXT-C-023,this is the company Bank Support. You experienced a problem using online banking. Could you confirm your username and briefly describe the issue you are facing?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,116,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Bank Support. You experienced a problem using online banking. Could you confirm your username and briefly describe the issue you are facing?"
EXT-C-024,this is the company Social Network Help Desk. You are having trouble accessing your account. Can you provide your registered email address for us to begin the recovery process?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,117,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Company] Social Network Help Desk. You are having trouble accessing your account. Can you provide your registered email address for us to begin the recovery process?"
EXT-C-025,this is the representative from the company Utilities. You contacted us regarding your recent water bill. Can you confirm your billing address so we can verify the account in question?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,119,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Utilities. You contacted us regarding your recent water bill. Can you confirm your billing address so we can verify the account in question?"
EXT-C-026,this is the representative from the company Gas Services. You reached out about an issue with your bill. Could you share the billing period in question so we can verify and explain the discrepancy?,CAUTION,utility,external_generated_unknown_source,English_NonScam.txt,123,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Gas Services. You reached out about an issue with your bill. Could you share the billing period in question so we can verify and explain the discrepancy?"
EXT-C-027,this is the representative from the company Energy Services. We received your inquiry about your latest electricity bill. Could you provide your account number so we can pull up your details and assist further?,CAUTION,banking,external_generated_unknown_source,English_NonScam.txt,124,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Energy Services. We received your inquiry about your latest electricity bill. Could you provide your account number so we can pull up your details and assist further?"
EXT-C-028,this is the representative from the company Airlines. You recently booked a flight and asked about baggage allowances. Could you provide your booking reference so we can confirm the details for your trip?,CAUTION,other,external_generated_unknown_source,English_NonScam.txt,125,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Airlines. You recently booked a flight and asked about baggage allowances. Could you provide your booking reference so we can confirm the details for your trip?"
EXT-C-029,"this is the representative from the company Financial Aid Office. We wanted to inform you that the government has extended student loan payment relief options until the date. If you have questions or would like to verify your eligibility, please visit your nearest the company branch during working hours. Our staff will assist you with any documentation you may need to bring.",CAUTION,government,external_generated_unknown_source,English_NonScam.txt,369,non_scam,Curator reassignment: legitimate context plus a potentially sensitive identifier/account/action request.,False,"[Greetings], this is [Name] from [Company] Financial Aid Office. We wanted to inform you that the government has extended student loan payment relief options until [Date]. If you have questions or would like to verify your eligibility, please visit your nearest [Company] branch during working hours. Our staff will assist you with any documentation you may need to bring."
